energy,makespan
3.568402919133169e9,999999.9999998942
3.568402905191159e9,999999.9999928898
3.5684028947405663e9,999999.9999865786
3.568402876774915e9,999999.9971201778
1.7703770682418677e8,6552.85278147163
1.7478924191367096e8,4699.379874950229
1.7477789742613196e8,4672.497501459271
1.7476299258903423e8,4631.358289369733
1.7476299259284952e8,4631.358289747601
1.747629925927797e8,4631.358289743931
1.7476299259137282e8,4631.358289592055
1.747629925913365e8,4631.358289553932
1.747629925913299e8,4631.358289531942
1.7476299259132966e8,4631.358289529769
1.7476299259132916e8,4631.358289529756
1.7476299259132832e8,4631.358289531872
1.7476299259128252e8,4631.358289582693
1.7476299259087947e8,4631.358289544534
1.747629925908425e8,4631.358289531538
1.747629925908114e8,4631.358289515411
1.7476299259081134e8,4631.358289515403
1.747629925908111e8,4631.358289515381
1.7476299259080994e8,4631.358289515345
1.7476299259080958e8,4631.358289515308
1.7476299259080917e8,4631.3582895153
1.747629925908085e8,4631.358289515269
1.7476299259080794e8,4631.358289515247
1.7476299259080732e8,4631.358289515211
1.7476299259080726e8,4631.35828951522
1.7476299259080166e8,4631.358289525949
1.7476299259079936e8,4631.358289526888
1.7476299259076253e8,4631.358289534218
1.7476299259075248e8,4631.358289526718
1.74762992590752e8,4631.3582895235395
1.7476299259075168e8,4631.358289523512
1.7476299259075013e8,4631.358289523424
1.7476299259074736e8,4631.358289523362
1.7476299259074625e8,4631.358289523284
1.7476299259074596e8,4631.358289523248
1.7476299259074485e8,4631.358289523205
1.7476299259074467e8,4631.358289523218
1.7476299259074295e8,4631.358289523161
1.7476299259074256e8,4631.358289523501
1.747629925907411e8,4631.358289523021
1.7476299259074074e8,4631.358289522979
1.7476299259073994e8,4631.358289522915
1.7476299259073952e8,4631.35828952295
1.747629925907383e8,4631.358289522865
1.7476299259073552e8,4631.3582895227155
1.7476299259073457e8,4631.358289522715
1.7476299259073406e8,4631.358289522349
1.747629925907333e8,4631.358289522577
1.747629925907312e8,4631.358289522484
1.7476299259072965e8,4631.358289522419
1.747629925907289e8,4631.358289522403
1.7476299259072822e8,4631.358289522349
1.747629925907276e8,4631.358289522617
1.7476299259072465e8,4631.35828952217
1.747629925907242e8,4631.358289522395
1.747629925907231e8,4631.358289522077
1.747629925907229e8,4631.358289522072
1.7476299259072194e8,4631.358289522045
1.7476299259072104e8,4631.35828952198
1.747629925907209e8,4631.358289521946
1.747629925907206e8,4631.3582895219215
1.7476299259071758e8,4631.3582895242
1.7476299259071565e8,4631.358289521719
1.7476299259071523e8,4631.35828952166
1.747629925907147e8,4631.358289521607
1.7476299259071442e8,4631.358289521582
1.7476299259071338e8,4631.358289521555
1.7476299259071302e8,4631.3582895214895
1.7476299259071225e8,4631.35828952145
1.747629925907114e8,4631.358289521438
1.7476299259071094e8,4631.3582895214495
1.7476299259071046e8,4631.358289521384
1.7476299259070957e8,4631.358289521353
1.7476299259070873e8,4631.358289521362
1.7476299259070733e8,4631.358289521284
1.7476299259070712e8,4631.35828952122
1.7476299259070608e8,4631.35828952117
1.7476299259070557e8,4631.358289521143
1.747629925907051e8,4631.358289521133
1.7476299259070447e8,4631.358289521093
