energy,makespan
1.7477316515301502e8,4633.5575
1.7485454317083535e8,4364.8235
1.7499007368443632e8,4135.1255
1.7499095794120187e8,4132.2747500000005
1.750065354918887e8,4126.280500000001
1.756267135669533e8,3819.0895
1.759114046505085e8,3687.56325
1.7593205368276784e8,3682.40675
1.7610093636166668e8,3643.0515
1.76650395963512e8,3511.4005
1.768471059413398e8,3474.62825
1.7711444060685784e8,3427.19425
1.7742952944240633e8,3374.9489999999996
1.77434670917612e8,3372.7245000000003
1.7766860425882566e8,3337.2845
1.776998944850795e8,3332.9615000000003
1.78160616084625e8,3270.6575000000003
1.7854754377921385e8,3223.9295
1.791091717153843e8,3154.9205
1.791668901040445e8,3148.672
1.7924871707815498e8,3142.22625
1.79356318331685e8,3130.4735
1.79908498415899e8,3090.86625
1.8014898766305515e8,3070.72975
1.8099213880788848e8,3017.33025
1.815072667213973e8,2982.5015000000003
1.8218157405087215e8,2943.2847500000003
1.825826482643e8,2921.55775
1.8356616398245117e8,2873.4695
1.83663353440722e8,2865.6814999999997
1.8381452049013048e8,2858.2435
1.839796490821675e8,2853.1660000000006
1.8444933028451285e8,2852.50925
1.896670283194162e8,2841.7537500000003
1.9184151637953618e8,2839.82675
1.9212198948223785e8,2838.7495000000004
