energy,makespan
1.747629925890341e8,4631.358289369729
1.747629925890341e8,4631.358289369729
1.747629925890341e8,4631.35828936973
1.7476299258903414e8,4631.35828936973
1.7476299258903414e8,4631.358289369729
1.7476299258903408e8,4631.358289369731
1.7476299258903423e8,4631.358289369733
1.7476299258903423e8,4631.358289369732
1.7476299258903423e8,4631.358289369733
1.7476299258903426e8,4631.358289369734
1.748517050106801e8,4362.871416656946
1.748517050106801e8,4362.871416656946
1.748517050106801e8,4362.871416656946
1.7485170501068014e8,4362.871416656945
1.749803324427929e8,4133.136695218749
1.749803324427929e8,4133.136695218748
1.749803324427929e8,4133.136695218748
1.7498033244279286e8,4133.136695218748
1.7498033244279286e8,4133.136695218748
1.7498033244279286e8,4133.136695218748
1.7498033244279286e8,4133.136695218748
1.7498033244279286e8,4133.136695218748
1.7498033244279286e8,4133.136695218748
1.7498033244279286e8,4133.136695218748
1.749803324427929e8,4133.136695218749
1.7498033244279295e8,4133.136695218751
1.7498033244279295e8,4133.136695218753
1.7498033244279292e8,4133.136695218753
1.7498033244279295e8,4133.136695218751
1.7498033244279295e8,4133.136695218751
1.7498033244279298e8,4133.136695218751
1.7498033244279298e8,4133.136695218751
1.7498033244279298e8,4133.136695218751
1.7498033244279295e8,4133.136695218752
1.7498033244279295e8,4133.136695218752
1.7498033244279295e8,4133.136695218753
1.749859484160582e8,4130.1131173484155
1.7499909354566962e8,4123.237615383264
1.7499909354566962e8,4123.237615383264
1.7499909354566962e8,4123.237615383264
1.7499909354566962e8,4123.237615383263
1.756251019322503e8,3816.6200000000053
1.756251019322502e8,3816.6200000000026
1.7562510193225026e8,3816.620000000002
1.7591075910147876e8,3685.251477341538
1.7591075910147876e8,3685.251477341538
1.7591075910147876e8,3685.251477341537
1.759107591014788e8,3685.2514773415373
1.759107591014788e8,3685.251477341537
1.759107591014788e8,3685.251477341537
1.7591075910147882e8,3685.2514773415364
1.7591075910147876e8,3685.2514773415364
1.759107591014788e8,3685.251477341537
1.7591075910147876e8,3685.2514773415364
1.759107591014788e8,3685.251477341537
1.7591075910147876e8,3685.251477341537
1.7591075910147876e8,3685.2514773415373
1.7592463682291043e8,3680.3923444509214
1.7592463682291043e8,3680.3923444509214
1.7592463682291043e8,3680.392344450921
1.7592463682291043e8,3680.392344450921
1.759246368229104e8,3680.3923444509205
1.759246368229104e8,3680.3923444509205
1.759246368229104e8,3680.392344450921
1.7592463682291043e8,3680.392344450921
1.759246368229105e8,3680.3923444509237
1.7592463682291046e8,3680.392344450921
1.7592463682291046e8,3680.392344450921
1.7592463682291046e8,3680.392344450921
1.7592463682291046e8,3680.3923444509214
1.7592463682291046e8,3680.3923444509214
1.7592463682291043e8,3680.3923444509214
1.7592463682291046e8,3680.392344450921
1.760925069701544e8,3638.497499999995
1.7609250697015443e8,3638.4974999999963
1.766318014037515e8,3507.14222956616
1.766318014037515e8,3507.14222956616
1.766318014037515e8,3507.14222956616
1.7663180140375146e8,3507.142229566158
1.7663180140375146e8,3507.1422295661578
1.766318014037515e8,3507.1422295661587
1.766318014037515e8,3507.1422295661587
1.7663180140375146e8,3507.142229566158
1.766318014037515e8,3507.1422295661587
1.7663180140375146e8,3507.142229566158
1.766318014037515e8,3507.1422295661587
1.766318014037515e8,3507.1422295661587
1.7663180140375146e8,3507.1422295661578
1.766318014037515e8,3507.1422295661578
1.7683493463884693e8,3471.786790722135
