 ,,AMD A8-3870K,AMD FX-8150,Intel Core i3 2120,Intel Core i5 2400S,Intel Core i5 2500K,Intel Core i7 3960X,Intel Core i7 3960X @ 4.20GHz,Intel Core i7 3770K,Intel Core i7 3770K @ 4.30GHz
7-Zip Compression - System Power Consumption Monitor (Watts),LIB,137.16,214.98,98.71,119.77,122.33,205.95,230.89,127.06,148.58
Warsow - Resolution: 1920 x 1080 (FPS),HIB,210.63,334.93,278.43,290.77,321,318.73,334.07,347.43,389.07
Warsow - Resolution: 1920 x 1080 (FPS/Watt),HIB,1.23,1.41,1.68,1.63,1.78,1.51,1.53,1.84,2.01
Warsow - CPU Temperature Monitor (Celsius),LIB,24.25,39.48,48.96,51.97,53.78,52.76,56.99,55.5,57.64
Warsow - System Power Consumption Monitor (Watts),LIB,171.87,237.46,165.44,178.69,180.2,211.29,218.8,188.39,193.79
Unigine Heaven - Resolution: 1920 x 1080 (FPS),HIB,71.16,80.5,84.98,85.24,86.31,86.44,85.95,86.34,86.79
Unigine Heaven - Resolution: 1920 x 1080 (FPS/Watt),HIB,0.31,0.25,0.37,0.35,0.36,0.31,0.3,0.36,0.35
Unigine Heaven - CPU Temperature Monitor (Celsius),LIB,28.08,39.39,57.05,58.12,62.74,54.63,57.98,58.42,60.97
Unigine Heaven - System Power Consumption Monitor (Watts),LIB,230.9,316.22,232.53,244.13,242.64,275.41,287.22,241.78,246.31
Timed Linux Kernel Compilation - Time To Compile (sec),LIB,157.67,96.77,192.12,130.22,114.53,,,84.86,75.56
Timed Linux Kernel Compilation - Time To Compile (Performance/Watt),HIB,0.88,2.36,0.54,0.98,1.19,,,1.6,2.02
Timed Linux Kernel Compilation - CPU Temperature Monitor (Celsius),LIB,34.12,41.86,61.9,66.98,74.89,,,72.89,81.51
Timed Linux Kernel Compilation - System Power Consumption Monitor (Watts),LIB,138.2,228.52,104.33,127.77,136.32,,,135.49,152.85
CPU Temperature Monitor - Phoronix Test Suite System Monitoring (Celsius),,27.15,37.36,55.31,56.71,61.63,53.36,56.21,58.62,62.62
System Power Consumption Monitor - Phoronix Test Suite System Monitoring (Watts),,172.49,249.58,155.99,172.86,177.71,225.31,231.77,180.4,197.31
,,,,,,,,,,
C-Ray - Total Time (sec),LIB,59.72,27.01,72.81,42.15,37.14,21.11,19.85,32.71,28.27
C-Ray - System Power Consumption Monitor (Watts),LIB,139.62,223.07,97.5,121.27,122.34,206.82,248.36,124.89,138.84
7-Zip Compression - Compress Speed Test (MIPS),HIB,9437,17945,9109,11345,12787,29836,31379,21333,23986
7-Zip Compression - System Power Consumption Monitor (Watts),LIB,137.16,214.98,98.71,119.77,122.33,205.95,230.89,127.06,148.58
Warsow - Resolution: 1920 x 1080 (FPS),HIB,210.63,334.93,278.43,290.77,321,318.73,334.07,347.43,389.07
Warsow - System Power Consumption Monitor (Watts),LIB,171.87,237.46,165.44,178.69,180.2,211.29,218.8,188.39,193.79
Unigine Heaven - Resolution: 1920 x 1080 (FPS),HIB,71.16,80.5,84.98,85.24,86.31,86.44,85.95,86.34,86.79
Unigine Heaven - System Power Consumption Monitor (Watts),LIB,230.9,316.22,232.53,244.13,242.64,275.41,287.22,241.78,246.31
Timed Linux Kernel Compilation - Time To Compile (sec),LIB,157.67,96.77,192.12,130.22,114.53,,,84.86,75.56
Timed Linux Kernel Compilation - System Power Consumption Monitor (Watts),LIB,138.2,228.52,104.33,127.77,136.32,,,135.49,152.85
System Power Consumption Monitor - Phoronix Test Suite System Monitoring (Watts),,172.49,249.58,155.99,172.86,177.71,225.31,231.77,180.4,197.31
