,Online,Greedy,Average
30,0.5,0,0
100,1.31,0.01,0.02
500,7.67,0.13,0.22
1000,17.48,0.54,0.51
2000,42.86,1.94,1.96
0.43,0,0
1.5,0.01,0.02
7.98,0.2,0.16
17.93,0.5,0.4
43.94,1.95,1.94
