59.72,27.01,72.81,42.15,37.12,21.11,19.85,32.71,28.27
105.96,55.72,109.78,88.14,78.2,33.51,31.86,46.87,41.69
474.76,298.56,359.15,343.91,311.52,313.74,299.33,287.82,257.02
140.52,124.22,117.67,117.31,115.86,115.68,116.35,115.82,115.22
157.67,96.77,192.12,130.22,114.53,85.98,87.56,84.86,75.56
157.33,76.25,188.99,115.79,110.94,60.06,110.71,86.12,85.86
47.15,29.08,55.08,39.18,30.39,12.22,12.95,19.66,26.64
51.1,30.91,73.77,44.99,47.74,17.83,16.53,34.89,29.6
62.42,36.03,49.33,42.57,51.85,31.32,38.71,31.73,24.03
42.35,25.16,38.71,27.15,27.01,11.08,26.19,22.32,17.21
483.77,301.08,574.4,326.26,411.98,355.23,279.06,235.32,326.75
376.8,225.45,362.32,251.6,279.17,295.5,172.55,214.25,219.18
193.6,138.1,138.49,122.09,127.33,135.4,119.88,120.28,83.72
74.1,48.5,56.33,65.25,74.45,54.9,52.74,55.11,39.48
145.81,87.11,94.97,96.45,112.91,47.62,86.82,89.47,64.43
73.6,46.05,96.39,60.41,56.92,24.79,24.63,50.78,56.34
116.31,68.93,143.91,98.47,77.34,73.21,71.01,54.4,70.97
140.07,58.69,81.69,131.89,111.3,93.89,45.19,81.22,66.43
64,41.06,60.57,53.9,45.29,43.68,28.14,45.12,44.5
149.95,66.29,153.28,100.12,86.29,91.4,51.88,74.1,61.29
134.25,81.17,140.2,92.04,86.53,43.89,31.03,80.82,69.07
58.02,26.6,30.45,37.67,33.89,15.25,15.31,27.92,26.22
222.45,146.09,257.48,162.25,133.64,143.11,89.8,134.71,80.01
406.29,231.52,497.99,292.19,289.12,165.03,256.13,220.79,213.34
251.78,182.85,374.16,305.35,224.78,110.65,127.68,160.31,154.9
122.33,118.26,123.84,134.48,107.04,103.87,74.3,104.18,76.46
64.4,34.88,44.75,61.95,41.32,41.13,40.38,33.92,26.96
96.47,46.4,58.44,81.14,59.1,59.86,28.78,40.02,43.65
320.22,239.01,410,242.12,265.77,104.7,239.64,251.8,260.96
237.75,141.76,294.73,241.43,168.71,112.2,67.43,128.95,145.23
