280.6698,214.7275,-74.59719,,,,
275.7015,202.1566,-70.34507,,,,
287.952,215.5219,-62.17649,,,,
286.861,217.6088,-64.90235,,,,
,,,,,,
,,,,Online,Greedy,Average
,,,BaS,280.6698,214.7275,-74.59719
,,,SaB,275.7015,202.1566,-70.34507
,,,Rand,287.952,215.5219,-62.17649
,,,Equal,286.861,217.6088,-64.90235
417.1136,175.6718,211.8932
421.2643,176.9165,209.0554
420.2006,175.6727,210.9959
419.9573,176.7754,211.3803
