,Online,Greedy,Average
30,147.7018,127.7158,-210.1666
100,145.3507,135.9005,-205.3999
500,139.312,136.6524,-206.4938
1000,138.9138,137.6852,-207.8438
2000,139.0553,138.1361,-207.2598
173.4592,108.0522,28.51266
164.2584,106.233,27.27857
140.4706,104.3671,25.54425
134.9657,103.999,25.72069
132.0465,103.3422,25.772
