0,0,0,46,56,98,104,63,73
0,0,0,0,0,51,51,37,41
0,70,63,60,66,60,63,65,73
0,0,26,27,26,25,0,28,28
0,0,0,72,82,110,141,110,125
0,0,0,93,0,182,0,127,128
0,0,0,0,0,210,0,0,0
0,0,0,0,0,220,0,0,220
0,0,0,0,0,0,0,219,21
0,0,0,0,0,122,0,0,48
0,0,0,70,82,0,120,66,42
0,0,0,47,42,0,68,57,56
0,0,0,0,0,0,0,0,110
0,0,120,0,0,0,0,0,0
0,0,0,0,0,620,0,0,0
0,0,0,0,0,0,160,0,0
0,0,0,0,0,0,0,180,10
0,0,0,0,0,0,290,0,0
0,0,0,0,385,0,0,165,0
0,0,0,185,11,0,29,15,140
0,0,0,0,0,0,310,0,0
0,0,0,0,0,0,280,0,0
0,0,0,75,95,0,0,93,157
0,411,0,17,12,198,0,21,21
0,0,0,0,42,90,102,61,65
0,0,0,0,0,0,0,0,750
0,0,0,0,0,0,0,0,210
0,0,0,0,0,0,0,590,0
0,0,0,0,0,190,0,0,0
0,0,0,0,0,0,610,0,0
